Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,month,date
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,13.0,0.0,0.0,2010,1,2010-01-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,13.0,0.0,0.0,2010,2,2010-02-28
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,21.0,13.0,0.0,0.0,2010,3,2010-03-31
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,21.0,13.0,0.0,0.0,2010,4,2010-04-30
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,13.0,0.0,0.0,2010,5,2010-05-31
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,24.0,14.0,0.0,0.0,2010,6,2010-06-30
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0,21.0,0.0,0.0,2010,7,2010-07-31
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0,15.0,0.0,0.0,2010,8,2010-08-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,16.0,0.0,0.0,2010,9,2010-09-30
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,22.0,18.0,0.0,0.0,2010,10,2010-10-31
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,20.0,0.0,0.0,2010,11,2010-11-30
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,22.0,0.0,0.0,2010,12,2010-12-31
