ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,quarter,year,close,volume,close_pct_change_3m,close_pct_change_6m,volume_pct_change_3m,volume_pct_change_6m
AVON,2009-06-30,2009-07-30,10-Q,Q2,AVON,,,2009,5237800000.0,5237800000.0,5237800000.0,5237800000.0,5237800000.0,5237800000.0,,5237800000.0,5237800000.0,5237800000.0,1,1,0,1,1,1,1,2,2009,,,,,,
AVON,2009-09-30,2009-10-29,10-Q,Q3,AVON,,,2009,7882500000.0,7882500000.0,7882500000.0,7882500000.0,7882500000.0,7882500000.0,,7882500000.0,7882500000.0,7882500000.0,1,1,0,1,1,1,1,3,2009,,,,,,
AVON,2009-12-31,2010-02-25,10-K,FY,AVON,,,2009,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,,9938700000.0,9938700000.0,9938700000.0,1,1,0,1,1,1,1,4,2009,,,,,,
AVON,2010-03-31,2010-04-30,10-Q,Q1,AVON,,,2010,2186900000.0,2186900000.0,2186900000.0,2186900000.0,2186900000.0,2186900000.0,,2186900000.0,2186900000.0,2186900000.0,1,1,0,1,1,1,1,1,2010,,,,,,
AVON,2010-06-30,2010-07-29,10-Q,Q2,AVON,,,2010,4665200000.0,4665200000.0,4665200000.0,4665200000.0,4665200000.0,4665200000.0,,4665200000.0,4665200000.0,4665200000.0,1,1,0,1,1,1,1,2,2010,,,,,,
AVON,2010-09-30,2010-10-28,10-Q,Q3,AVON,,,2010,7224200000.0,7224200000.0,7224200000.0,7224200000.0,7224200000.0,7224200000.0,,7224200000.0,7224200000.0,7224200000.0,1,1,0,1,1,1,1,3,2010,,,,,,
AVON,2010-12-31,2011-02-24,10-K,FY,AVON,,,2010,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,,10507500000.0,10507500000.0,10507500000.0,1,1,0,1,1,1,1,4,2010,,,,,,
AVON,2011-03-31,2011-05-03,10-Q,Q1,AVON,,,2011,2446300000.0,2446300000.0,2446300000.0,2446300000.0,2446300000.0,2446300000.0,,2446300000.0,2446300000.0,2446300000.0,1,1,0,1,1,1,1,1,2011,,,,,,
AVON,2011-06-30,2011-07-28,10-Q,Q2,AVON,,,2011,5074800000.0,5074800000.0,5074800000.0,5074800000.0,5074800000.0,5074800000.0,,5074800000.0,5074800000.0,5074800000.0,1,1,0,1,1,1,1,2,2011,,,,,,
AVON,2011-09-30,2011-10-27,10-Q,Q3,AVON,,,2011,7687200000.0,7687200000.0,7687200000.0,7687200000.0,7687200000.0,7687200000.0,,7687200000.0,7687200000.0,7687200000.0,1,1,0,1,1,1,1,3,2011,,,,,,
AVON,2011-12-31,2012-02-29,10-K,FY,AVON,,,2011,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,,10205200000.0,10205200000.0,10205200000.0,1,1,0,1,1,1,1,4,2011,,,,,,
AVON,2012-03-31,2012-05-01,10-Q,Q1,AVON,,,2012,2629100000.0,2629100000.0,2629100000.0,2629100000.0,2629100000.0,2629100000.0,,2629100000.0,2629100000.0,2629100000.0,1,1,0,1,1,1,1,1,2012,,,,,,
AVON,2012-06-30,2012-08-01,10-Q,Q2,AVON,,,2012,5485500000.0,5485500000.0,5485500000.0,5485500000.0,5485500000.0,5485500000.0,,5485500000.0,5485500000.0,5485500000.0,1,1,0,1,1,1,1,2,2012,,,,,,
