ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,GrossProfit,OperatingExpenses,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,year,close,volume,close_pct_change_1y,volume_pct_change_1y
A,2009-12-31,2009-12-21,10-K,FY,A,diagnostics-research,healthcare,2009,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,,,584000000.0,0,1,0,1,1,1,1,2009,19.710277557373047,5224606.0,0.9878432929927587,-0.1855645274055211
A,2010-12-31,2010-12-20,10-K,FY,A,diagnostics-research,healthcare,2010,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,,,795000000.0,0,1,0,1,1,1,1,2010,26.28249168395996,2050726.0,0.3334409729876399,-0.6074869569112006
A,2011-12-31,2011-12-16,10-K,FY,A,diagnostics-research,healthcare,2011,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,,,4481000000.0,0,1,0,1,1,1,1,2011,22.15900039672852,1930918.0,-0.1568911858439959,-0.0584222368078426
A,2012-12-31,2012-12-20,10-K,FY,A,diagnostics-research,healthcare,2012,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,,,5444000000.0,0,1,0,1,1,1,1,2012,26.231359481811523,4707905.0,0.1837790068221774,1.438169305998494
A,2013-12-31,2013-12-19,10-K,FY,A,diagnostics-research,healthcare,2013,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,,,1071000000.0,0,1,0,1,1,1,1,2013,37.02071380615234,1316077.0,0.4113151028951438,-0.7204537899554048
A,2014-12-31,2014-12-22,10-K,FY,A,diagnostics-research,healthcare,2014,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,,,1119000000.0,0,1,0,1,1,1,1,2014,37.31051635742188,1421100.0,0.0078281189494888,0.0798000420948015
A,2015-12-31,2015-12-21,10-K,FY,A,diagnostics-research,healthcare,2015,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,,,3894000000.0,0,1,0,1,1,1,1,2015,38.60331344604492,1451000.0,0.0346496702494945,0.0210400394060938
A,2016-12-31,2016-12-20,10-K,FY,A,diagnostics-research,healthcare,2016,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,,,4048000000.0,0,1,0,1,1,1,1,2016,42.52647018432617,1216100.0,0.1016274611702585,-0.1618883528600965
A,2017-12-31,2017-12-21,10-K,FY,A,diagnostics-research,healthcare,2017,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,,,4038000000.0,0,1,0,1,1,1,1,2017,63.074344635009766,1064900.0,0.4831784618290951,-0.1243318806019242
A,2018-12-31,2018-12-20,10-K,FY,A,diagnostics-research,healthcare,2018,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,,,615000000.0,0,1,0,1,1,1,1,2018,64.12477111816406,1572100.0,0.0166537835507092,0.4762888534134661
